,mu,sigma,trials,cluster,decision,alpha,tau,clustering,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",spectral warp,0.74708,0.66947,0.68569,0.6886,0.69141,0.68002,0.68567
1,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",aff prop,0.82642,0.44189,0.6015,0.50523,0.48097,0.75224,0.58677
2,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",pca,0.3631,0.31968,0.4487,0.32433,0.60915,0.33051,0.42852
3,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",kmeans,0.83848,0.75541,0.76905,0.76784,0.77493,0.76322,0.76903
4,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",spectral overlap,0.42578,0.36694,0.40935,0.35673,0.43237,0.38756,0.40874
5,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",spectral warp,0.63386,0.56295,0.59004,0.53561,0.60342,0.57696,0.58989
6,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",aff prop,0.74855,0.44376,0.57116,0.4418,0.47878,0.68136,0.56238
7,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",pca,0.09939,0.07319,0.17705,0.02461,0.34651,0.09047,0.14348
8,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",kmeans,0.79752,0.71685,0.73862,0.69931,0.75154,0.72593,0.73851
9,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",spectral overlap,0.33708,0.28312,0.32966,0.28546,0.35419,0.30683,0.32881
10,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.9]",spectral warp,0.68874,0.61452,0.63998,0.61661,0.65331,0.62692,0.63984
11,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.9]",aff prop,1.02881,0.51446,0.71861,0.58675,0.55143,0.93647,0.69413
12,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.9]",pca,0.5025,0.44865,0.6134,0.44571,0.82261,0.4574,0.5879
13,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.9]",kmeans,0.62422,0.55392,0.57468,0.54525,0.58123,0.56819,0.57464
14,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.1, 0.5, 0.9]",spectral overlap,0.24854,0.19904,0.25024,0.21315,0.27679,0.22623,0.24897
15,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.3, 0.7, 1.1]",spectral warp,0.70599,0.6308,0.65329,0.62826,0.66413,0.64262,0.6532
16,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.3, 0.7, 1.1]",aff prop,0.86227,0.47284,0.63188,0.52116,0.50871,0.78487,0.61731
17,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.3, 0.7, 1.1]",pca,0.41979,0.37218,0.50201,0.40563,0.65952,0.38211,0.48388
18,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.3, 0.7, 1.1]",kmeans,0.72218,0.64603,0.66485,0.65766,0.67244,0.65735,0.66481
19,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.3, 0.7, 1.1]",spectral overlap,0.13788,0.09597,0.13087,0.12281,0.13646,0.1255,0.13075
20,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 0.9, 1.3]",spectral warp,0.53363,0.46859,0.50401,0.42656,0.52297,0.48573,0.50366
21,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 0.9, 1.3]",aff prop,0.67392,0.38,0.50616,0.40206,0.41766,0.61343,0.49696
22,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 0.9, 1.3]",pca,0.19333,0.16185,0.2837,0.09418,0.45736,0.17598,0.25416
23,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 0.9, 1.3]",kmeans,0.72044,0.64437,0.66723,0.63587,0.6789,0.65577,0.66713
24,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 0.9, 1.3]",spectral overlap,0.24986,0.20189,0.23148,0.21516,0.23559,0.22744,0.23144
25,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 1.2, 1.9]",spectral warp,0.51272,0.44889,0.48231,0.44244,0.49845,0.46669,0.48205
26,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 1.2, 1.9]",aff prop,0.90959,0.44943,0.63814,0.4946,0.49184,0.82794,0.6171
27,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 1.2, 1.9]",pca,0.21951,0.18629,0.312,0.1194,0.4872,0.19981,0.28339
28,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 1.2, 1.9]",kmeans,0.86452,0.77988,0.79807,0.74036,0.80937,0.78692,0.79799
29,"[0, 1, 2]","[1, 1, 1]",100.0,20.0,softmax,"[1, 2, 3]","[0.5, 1.2, 1.9]",spectral overlap,0.40243,0.34535,0.37149,0.33817,0.37675,0.3663,0.37145
