,mu,sigma,trials,cluster,decision,alpha,tau,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",spectral warp,[0 2 0 1 0 2 2 2 2 2 1 1 1 1 1],0.73816,0.6094,0.68568,0.61489,0.69973,0.67191,0.68554
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",aff prop,[1 0 1 0 1 2 2 0 2 2 3 3 3 3 3],0.97131,0.63992,0.79392,0.69565,0.71292,0.88412,0.78934
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",pca,[0 0 0 0 0 1 1 1 1 1 1 1 1 1 1],0.63651,0.54481,0.76117,0.53333,1.0,0.57938,0.73368
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",kmeans,[1 1 1 1 1 0 0 2 0 0 2 2 2 2 2],0.91839,0.80476,0.84111,0.79208,0.84629,0.83595,0.84109
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.2, 0.3]",spectral overlap,[2 1 0 0 0 1 1 2 1 1 0 0 0 0 0],0.48656,0.33715,0.4713,0.33639,0.50155,0.44288,0.47039
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",spectral warp,[2 2 0 1 2 0 0 0 0 0 1 1 1 1 1],0.73816,0.6094,0.68568,0.61489,0.69973,0.67191,0.68554
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",aff prop,[1 0 3 3 1 2 2 2 2 2 3 3 3 3 3],0.81942,0.61616,0.72243,0.58824,0.69972,0.74587,0.72206
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",pca,[1 1 0 0 1 0 0 0 0 0 0 0 0 0 0],0.27607,0.18428,0.37233,0.14388,0.55169,0.25129,0.34529
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",kmeans,[1 1 1 1 1 2 0 2 0 0 2 2 2 2 2],0.81942,0.69717,0.76522,0.64103,0.78507,0.74587,0.76497
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[1, 2, 3]","[0.1, 0.3, 0.5]",spectral overlap,[0 1 2 2 0 0 2 2 2 0 1 2 1 1 1],0.34241,0.18079,0.3136,0.14521,0.31553,0.31168,0.31359
