,mu,sigma,trials,cluster,decision,alpha,tau,clustering,labels,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",spectral warp,[0 2 2 0 2 0 0 2 0 0 2 1 1 0 0],0.22734,0.05642,0.22021,0.0367,0.23434,0.20693,0.21978
1,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",aff prop,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",pca,[1 0 0 1 0 1 1 0 1 1 0 0 0 1 1],0.07545,-0.0039,0.0866,0.0,0.1092,0.06868,0.08432
3,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",kmeans,[1 1 1 1 0 0 0 1 0 0 0 1 2 1 1],0.23195,0.07675,0.23559,0.11209,0.26289,0.21113,0.23419
4,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.2, 0.3]",spectral overlap,[0 1 2 0 2 1 1 1 1 1 2 0 0 0 0],0.53648,0.39085,0.49833,0.38835,0.50855,0.48832,0.49823
5,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",spectral warp,[0 0 0 0 0 1 0 0 0 1 1 2 2 0 2],0.40918,0.24829,0.40047,0.20833,0.43059,0.37245,0.39941
6,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",aff prop,[0 0 0 0 0 1 0 0 0 1 1 0 1 0 0],0.13124,0.04378,0.16442,0.02036,0.22631,0.11946,0.15638
7,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",pca,[0 0 0 0 0 1 0 0 0 1 1 0 0 0 0],0.10926,0.01886,0.14737,0.00959,0.21835,0.09946,0.13666
8,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",kmeans,[1 1 2 2 1 0 1 2 2 0 0 1 1 1 1],0.26684,0.09557,0.25336,0.06231,0.26429,0.24288,0.25314
9,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.3, 0.5]",spectral overlap,[2 2 1 0 2 2 2 2 2 2 2 2 2 2 2],0.16834,0.01277,0.23059,0.02252,0.34702,0.15323,0.21259
10,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",spectral warp,[2 0 1 0 2 2 0 0 1 0 0 2 1 1 1],0.10003,-0.08178,0.09162,-0.0396,0.09218,0.09106,0.09162
11,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",aff prop,[0 0 1 0 0 0 0 0 1 0 0 0 1 1 1],0.07858,-0.00478,0.09396,0.01067,0.12345,0.07152,0.09057
12,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",pca,[0 0 1 0 0 0 0 0 1 0 0 0 1 1 1],0.07858,-0.00478,0.09396,0.01067,0.12345,0.07152,0.09057
13,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",kmeans,[1 1 0 2 1 1 1 1 0 1 1 1 0 1 1],0.07951,-0.09576,0.0888,-0.05729,0.10894,0.07238,0.08697
14,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.1, 0.5, 0.9]",spectral overlap,[0 0 0 1 0 2 0 0 0 0 0 0 0 0 0],0.15149,-0.00511,0.20752,-0.00901,0.3123,0.13789,0.19131
15,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",spectral warp,[0 2 2 0 0 1 2 1 2 0 1 1 1 1 1],0.48462,0.33377,0.44896,0.29773,0.45693,0.44112,0.44889
16,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",aff prop,[0 1 1 0 0 2 1 2 1 0 2 2 2 2 2],0.48462,0.33377,0.44896,0.29773,0.45693,0.44112,0.44889
17,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",pca,[1 1 0 1 1 0 1 0 1 1 0 0 0 0 0],0.29979,0.21621,0.34409,0.23529,0.43389,0.27288,0.33504
18,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",kmeans,[1 0 1 0 0 1 1 1 1 1 2 1 1 1 1],0.33873,0.18296,0.37828,0.125,0.4641,0.30833,0.37051
19,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.3, 0.7, 1.1]",spectral overlap,[1 0 1 2 0 1 1 1 1 1 1 1 1 1 1],0.27607,0.11562,0.33244,0.09732,0.4398,0.25129,0.31983
20,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",spectral warp,[0 0 1 0 0 1 0 2 2 1 2 2 1 1 2],0.35583,0.19589,0.32389,0.16,0.32389,0.32389,0.32389
21,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",aff prop,[1 1 0 1 1 0 1 2 2 0 2 2 2 2 2],0.52532,0.37817,0.49057,0.37179,0.50329,0.47816,0.49041
22,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",pca,[1 1 0 1 1 0 1 0 0 0 0 0 0 0 0],0.30291,0.2162,0.36224,0.23467,0.47589,0.27572,0.34915
23,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",kmeans,[0 0 0 0 0 0 0 1 1 0 1 1 2 0 1],0.31214,0.16017,0.3224,0.15517,0.36583,0.28412,0.31984
24,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 0.9, 1.3]",spectral overlap,[2 0 1 0 1 0 1 1 1 1 1 0 1 1 0],0.11046,-0.05519,0.11409,-0.04598,0.12946,0.10054,0.11318
25,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 1.2, 1.9]",spectral warp,[1 1 0 1 1 0 1 0 2 1 2 2 2 2 2],0.53648,0.39085,0.49833,0.38835,0.50855,0.48832,0.49823
26,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 1.2, 1.9]",aff prop,[1 1 0 1 1 0 1 0 2 1 2 2 2 2 2],0.53648,0.39085,0.49833,0.38835,0.50855,0.48832,0.49823
27,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 1.2, 1.9]",pca,[1 1 0 1 1 0 1 0 0 1 0 0 0 0 0],0.28187,0.19756,0.32781,0.20937,0.41882,0.25657,0.31821
28,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 1.2, 1.9]",kmeans,[0 0 1 0 0 0 0 0 1 0 1 1 2 2 2],0.45167,0.29655,0.42887,0.23676,0.44737,0.41113,0.42849
29,"[0, 2, 4]","[1, 1, 1]",100.0,5.0,softmax,"[0.5, 0.5, 0.5]","[0.5, 1.2, 1.9]",spectral overlap,[1 0 2 1 2 0 2 1 1 2 0 1 1 0 1],0.13298,-0.04779,0.1232,-0.06472,0.12539,0.12105,0.12318
