Tau	Method	Similarity	Data	Choices	BBC 	Entropy 	Entropy Block	Concat	Normal. MI	RI	V-Measure	Comment
{0.1, 0.3}	Spectral	EDR	Entropy			x			0.117 (0.129)	0.083 (0.138)	0.116 (0.129)	
	Spectral	EDR	Bad Choice		x				0.108 (0.109)	0.060 (0.102)	0.107 (0.108)	
	Spectral	Levensthein	Choices	x					0.072 (0.103)	0.032 (0.110)	0.072 (0.103)	
	Spectral	EDR	E-Block				x		0.093 (0.096)	0.022 (0.094)	0.085 (0.095)	
{0.1, 0.5}	Spectral	EDR	Entropy			x			0.287 (0.116)	0.181 (0.114)	0.284 (0.117)	
	Ward	Euclidian	Bad Choice		x				0.238 (0.133)	0.158 (0.121)	0.236 (0.133)	Average and complete clusters almost the same
	K-Means	Euclidian	Concat					x	0.241 (0.137)	0.161 (0.120)	0.239 (0.140)	
	Spectral	Euclidian	Bad Choice		x				0.237 (0.152)	0.158 (0.133)	0.236 (0.151)	
	Spectral	Levensthein	Choices	x					0.213 (0.163)	0.139 (0.134)	0.212 (0.162)	
	Spectral	Overlap	Choices	x					0.178 (0.136)	0.120 (0.127)	0.175 (0.137)	
	K-Means	Euclidian	Choices	x					0.216 (0.138)	0.146 (0.125)	0.215 (0.138)	
{0.1, 0.7}	Spectral	DTW	E-Block				x		0.428 (0.135)	0.371 (0.157)	0.427 (0.136)	
	K-Means	Euclidian	Concat					x	0.352 (0.081)	0.250 (0.105)	0.350 (0.082)	
	Spectral	DTW	Bad Choice		x				0.343 (0.098)	0.239 (0.118)	0.341 (0.099)	Spectral Bad Eucldian 
	Ward	Euclidian	Bad Choice		x				0.343 (0.098)	0.236 (0.123)	0.340 (0.101)	Average and complete clusters exactly the same
	K-Means	Euclidian	Bad Choice		x				0.333 (0.100)	0.230 (0.121)	0.330 (0.103)	
	K-Means	Euclidian	Choices	x					0.323 (0.101)	0.224 (0.119)	0.320 (0.103)	
	K-Means	Euclidian	Entropy			x			0.271 (0.148)	0.212 (0.150)	0.270 (0.148)	
	Spectral	Levensthein	Choices	x					0.261 (0.178)	0.174 (0.176)	0.260 (0.178)	
	Spectral	Overlap	Choices	x					0.260 (0.205)	0.199 (0.225)	0.256 (0.206)	
{0.1, 1.0}	Spectral	DTW	E-Block				x		0.804 (0.212)	0.804 (0.235)	0.803 (0.213)	Spectral Eucldian 
	Spectral	EDR	Entropy			x			0.652 (0.178)	0.663 (0.203)	0.652 (0.178)	
	Ward	Euclidian	E-Block				x		0.621 (0.208)	0.596 (0.249)	0.620 (0.209)	Spectral RBF (slightly better)
	Spectral	Overlap	Choices	x					0.599 (0.355)	0.571 (0.406)	0.597 (0.357)	
	K-Means	Euclidian	E-Block				x		0.562 (0.170)	0.525 (0.220)	0.562 (0.170)	Spectra E DTW slightly worse / Spectral EBLOCK slighty worse
	Spectral	Levensthein	Choices	x					0.368 (0.133)	0.270 (0.169)	0.366 (0.134)	
	K-Means	Euclidian	Choices	x					0.275 (0.144)	0.171 (0.147)	0.272 (0.145)	
	K-Means	Euclidian	Concat					x	0.399 (0.194) 	0.338 (0.224)	0.398 (0.194)	
	Spectral	Euclidian	Bad Choice		x				0.314 (0.109)	0.197 (0.135)	0.311 (0.110)	
