Tau	Method	Similarity	Data	Choices	BBC 	Entropy 	Entropy Block	Concat	Normal. MI	RI	V-Measure	Comment
{0.1, 0.3}	Spectral	DTW	Entropy-Block				x		0.187 (0.170)	0.155 (0.187)	0.187 (0.170)	
	Spectral	EDR	Bad-Choice		x				0.107 (0.079)	0.016(0.054)	0.097 (0.079)	
	Spectral	EDR	Entropy 			x			0.090 (0.108)	0.060 (0.134) 	0.090 (0.108)	
	Spectral	Cosine	Category 	x					0.089 (0.152)	0.034 (0.131)	0.089 (0.151)	
	K-Means	Euclidean	Concat					x	0.050 (0.073)	0.016 (0.098)	0.050 (0.073)	
{0.1, 0.5}	Spectral	DTW	Entropy-Block				x		0.769 (0.179)	0.783 (0.185)	0.769 (0.179)	
	Spectral	EDR	Bad-Choice		x				0.335 (0.172)	0.252 (0.191)	0.333 (0.174)	
	Spectral	Levensthein	Choice	x					0.324 (0.116)	0.213 (0.128)	0.322 (0.117)	
	Spectral	EDR	Entropy 			x			0.221 (0.182)	0.149 (0.161)	0.221 (0.181)	
	K-Means	Euclidean	Concat					x	0.137 (0.137)	0.110 (0.152)	0.136 (0.137)	
{0.1, 0.7}	Spectral	DTW	Entropy-Block				x		0.926 (0.136)	0.932 (0.129)	0.926 (0.136)	
	Spectral	EDR	Bad-Choice		x				0.510 (0.201)	0.483 (0.235)	0.510 (0.201)	
	Spectral	RBF	Entropy 			x			0.444 (0.212)	0.436 (0.229)	0.444 (0.212)	
	K-Means	Euclidean	Concat					x	0.402 (0.228)	0.395 (0.247)	0.402 (0.228)	
	Spectral	Levensthein	Choice	x					0.340 (0.127)	0.230 (0.160)	0.338 (0.129)	
{0.1, 1.0}	Spectral	DTW	Entropy-Block				x		1.000 (1.000)	1.000 (1.000)	1.000 (1.000)	WARD
	Spectral	DTW	Bad-Choice		x				0.735 (0.285)	0.732 (0.305)	0.735 (0.285)	
	Spectral	RBF	Entropy 			x			0.654 (0.241)	0.669 (0.245)	0.654 (0.241)	
	K-Means	Euclidean	Concat					x	0.606 (0.235)	0.603 (0.251)	0.606 (0.236)	
	Spectral	Levensthein	Choice	x					0.356 (0.095)	0.240 (0.135)	0.354 (0.096)	
