,mu,sigma,trials,cluster,decision,alpha,tau,clustering,mut inf scr,adj mis,norm mis,adj rand s,complet,homogen,vmeas
0,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",spectral warp,0.0748092290108,0.0359492413265,0.0723803883454,0.0526653821452,0.0769362636849,0.0680942947593,0.072245748389
1,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",aff prop,0.184788085628,0.0249368988109,0.123922426911,0.0293011595111,0.0912999009781,0.168201364152,0.118356015596
2,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",pca,0.0276689221698,0.0092440718556,0.0358146772677,0.00698372791396,0.0509300725535,0.0251853383175,0.0337038476996
3,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",kmeans,0.201465428005,0.156472658431,0.184512456355,0.175417972832,0.185650149289,0.183381735379,0.184508970441
4,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.5, 0.8]",spectral overlap,0.0490681376997,0.0132267569476,0.0447805618776,0.0185367346493,0.0448976855816,0.0446637437118,0.0447804091089
5,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",spectral warp,0.116491059814,0.0763402154307,0.108243943784,0.0649381286324,0.110499183839,0.106034732194,0.108220934444
6,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",aff prop,0.234792616872,0.0532609642807,0.16083398521,0.0480448075638,0.121036306574,0.213717449999,0.15454685894
7,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",pca,0.096882744097,0.0735924713856,0.113290613755,0.0870600238055,0.145541176259,0.0881864740603,0.109826656344
8,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",kmeans,0.315149859311,0.262985524928,0.300134435988,0.240048276006,0.31402121476,0.286861764211,0.299827696301
9,"[20, 30, 40, 40]","[10, 15, 20, 25]",100.0,20.0,softmax,"[1, 1, 1]","[0.1, 0.8, 1.7]",spectral overlap,0.0593167333086,0.0225210763768,0.0558969928172,0.0309969928291,0.057868751825,0.0539924174528,0.0558634211707
